iter	Passed	Remaining
0	6	6437
1	11	5829
2	16	5643
3	22	5526
4	27	5468
5	32	5463
6	38	5428
7	43	5414
8	48	5389
9	54	5375
10	59	5354
11	64	5328
12	69	5310
13	75	5296
14	80	5291
15	85	5275
16	91	5268
17	96	5256
18	101	5260
19	107	5253
20	112	5247
21	117	5241
22	123	5229
23	128	5223
24	133	5211
25	139	5212
26	144	5203
27	149	5198
28	154	5189
29	160	5181
30	165	5173
31	170	5164
32	176	5158
33	181	5151
34	186	5144
35	191	5139
36	197	5130
37	202	5122
38	207	5112
39	212	5107
40	217	5096
41	223	5089
42	228	5085
43	233	5079
44	239	5074
45	244	5069
46	249	5066
47	255	5060
48	260	5054
49	265	5047
50	270	5040
51	276	5033
52	281	5026
53	286	5019
54	292	5017
55	297	5010
56	302	5005
57	307	4999
58	313	4994
59	318	4988
60	323	4983
61	328	4976
62	334	4970
63	339	4964
64	344	4958
65	349	4952
66	355	4945
67	360	4939
68	365	4934
69	370	4927
70	376	4920
71	381	4917
72	386	4911
73	392	4906
74	397	4900
75	402	4893
76	407	4887
77	412	4880
78	418	4874
79	423	4868
80	428	4863
81	433	4857
82	439	4851
83	444	4846
84	449	4841
85	454	4835
86	460	4830
87	465	4824
88	470	4818
89	475	4812
90	481	4805
91	486	4799
92	491	4793
93	496	4788
94	502	4783
95	507	4777
96	512	4772
97	517	4766
98	523	4760
99	528	4754
100	533	4748
101	538	4742
102	543	4737
103	549	4731
104	554	4725
105	559	4719
106	565	4716
107	570	4711
108	575	4706
109	580	4700
110	586	4695
111	591	4689
112	596	4684
113	602	4678
114	607	4672
115	612	4667
116	617	4661
117	623	4656
118	628	4650
119	633	4644
120	638	4639
121	643	4634
122	649	4628
123	654	4623
124	659	4617
125	664	4611
126	669	4605
127	675	4599
128	680	4594
129	685	4588
130	690	4582
131	696	4577
132	701	4572
133	706	4566
134	711	4560
135	716	4554
136	722	4549
137	727	4543
138	732	4537
139	737	4532
140	743	4526
141	748	4521
142	753	4515
143	758	4510
144	763	4504
145	769	4499
146	774	4495
147	780	4490
148	785	4485
149	790	4480
150	796	4475
151	801	4470
152	806	4464
153	811	4459
154	816	4453
155	822	4448
156	827	4443
157	832	4438
158	838	4433
159	843	4427
160	848	4423
161	854	4417
162	859	4412
163	864	4407
164	869	4401
165	874	4395
166	880	4390
167	885	4384
168	890	4379
169	895	4373
170	901	4368
171	906	4363
172	911	4358
173	916	4352
174	922	4347
175	927	4342
176	932	4337
177	937	4331
178	943	4326
179	948	4320
180	953	4315
181	958	4309
182	964	4303
183	969	4298
184	974	4292
185	979	4288
186	985	4282
187	990	4276
188	995	4271
189	1000	4266
190	1006	4262
191	1011	4257
192	1016	4252
193	1022	4247
194	1027	4242
195	1032	4237
196	1038	4232
197	1043	4226
198	1048	4221
199	1053	4215
200	1059	4210
201	1064	4205
202	1069	4200
203	1075	4196
204	1080	4192
205	1086	4186
206	1091	4181
207	1096	4176
208	1102	4171
209	1107	4166
210	1112	4161
211	1118	4156
212	1123	4150
213	1128	4145
214	1133	4140
215	1139	4135
216	1144	4130
217	1149	4124
218	1155	4119
219	1160	4114
220	1165	4109
221	1171	4104
222	1176	4099
223	1181	4093
224	1187	4088
225	1192	4083
226	1197	4078
227	1202	4072
228	1208	4067
229	1213	4062
230	1218	4056
231	1223	4051
232	1229	4046
233	1234	4040
234	1239	4035
235	1245	4030
236	1250	4025
237	1255	4020
238	1260	4014
239	1266	4009
240	1271	4004
241	1276	3999
242	1282	3994
243	1287	3989
244	1292	3984
245	1298	3978
246	1303	3974
247	1308	3968
248	1314	3963
249	1319	3958
250	1324	3953
251	1330	3948
252	1335	3943
253	1340	3937
254	1346	3932
255	1351	3927
256	1356	3922
257	1361	3916
258	1367	3912
259	1372	3906
260	1377	3901
261	1383	3896
262	1388	3890
263	1393	3885
264	1399	3880
265	1404	3875
266	1409	3870
267	1415	3865
268	1420	3859
269	1425	3854
270	1430	3849
271	1436	3843
272	1441	3838
273	1446	3833
274	1452	3828
275	1457	3822
276	1462	3817
277	1467	3812
278	1473	3807
279	1478	3801
280	1483	3795
281	1489	3791
282	1494	3786
283	1499	3780
284	1504	3775
285	1510	3769
286	1515	3764
