Descriptor type: EAAC
Descriptor type: CKSAAP
Descriptor type: DPC
Descriptor type: DDE
Descriptor type: EAAC
### 1. Performance Comparison of Different Feature Encoding Methods
Feature Sn	Sp	Acc	MCC	AUC
OneHot	66.937	64.086	65.512	31.045	65.511
AAC	57.364	65.314	61.339	22.754	61.339
PWM	59.140	59.253	59.196	18.412	59.196
PSSM	59.724	59.611	59.668	19.340	59.668
BLOSUM	56.666	54.248	55.457	10.919	55.457
EAAC	65.955	71.205	68.580	37.216	68.580
CKSAAP	58.629	64.577	61.603	23.251	61.603
DPC	59.422	63.160	61.291	22.604	61.291
DDE	59.686	63.953	61.820	23.663	61.820
RF	65.238	71.715	68.476	37.033	68.476
SVM	65.540	67.957	66.748	33.514	66.748
XGB	65.068	66.465	65.767	31.537	65.767
MLP	64.370	63.257	63.812	27.754	63.814
CB	68.467	70.751	69.609	39.235	69.609
### Done !
